groupid,groupsize,idingroup,strippedname,name,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_title
208,1,0,Bose Soundlink Color Bluetooth Usb 627840 speakers,"Bose Soundlink Color Bluetooth,Usb 627840 speakers",,Amazon,B0CZTT7QZG,100.0,stripped_name,627840,P,B0CZTT7QZG,"Bose Soundlink Color Bluetooth,Usb 627840 speakers"
125,3,1,Bose 738102-1100 SoundTouch 30 Wireless Speaker Works with Alexa,"Bose 738102-1100 SoundTouch 30 Wireless Speaker, Works with Alexa, Black",ON-3FVG-SU5N,Amazon,B011IKGT46,100.0,stripped_name,738102-1100,P,B011IKGT46,"Bose 738102-1100 SoundTouch 30 Wireless Speaker, Works with Alexa, Black"
125,3,2,Bose 738102-1100 SoundTouch 30 Wireless Speaker Works with Alexa,"Bose 738102-1100 SoundTouch 30 Wireless Speaker, Works with Alexa, Black",X2-QC1K-0VGJ,Amazon,B011IKGT46,100.0,stripped_name,738102-1100,P,B011IKGT46,"Bose 738102-1100 SoundTouch 30 Wireless Speaker, Works with Alexa, Black"
141,3,2,Bose 767397-1110 Wireless Audio System Works with Alexa,"Bose 767397-1110 Wireless Audio System Adapter, Works with Alexa, Black",04890,Ecwid,,100.0,stripped_name,767397-1110,K,B01K6P08FA,"Bose 767397-1110 Wireless Audio System Adapter, Works with Alexa, Black"
221,1,0,Bose Home Speaker 300 Wifi Bluetooth 808429 Tabletop Corded Electric Multi Room speakers,"Bose Home Speaker 300 Wifi,Bluetooth 808429 Tabletop Corded Electric Multi Room speakers",,Amazon,B0CZTVNDDM,100.0,stripped_name,808429,P,B0CZTVNDDM,"Bose Home Speaker 300 Wifi,Bluetooth 808429 Tabletop Corded Electric Multi Room speakers"
113,4,2,Dura Micro DM5133U AC Power Supply 12V 2A,Genuine Dura Micro DM5133U AC Power Supply Adapter 12V ~ 2A,QX-V9YY-7GJG,Amazon,B00Y5ZJ0J8,100.0,stripped_name,AC Power Supply,P,B00Y5ZJ0J8,Genuine Dura Micro DM5133U AC Power Supply Adapter 12V ~ 2A
113,4,3,Dura Micro DM5133U AC Power Supply 12V 2A,Genuine Dura Micro DM5133U AC Power Supply Adapter 12V ~ 2A,363509518128,USAV_eBay,,100.0,stripped_name,AC Power Supply,P,B00Y5ZJ0J8,Genuine Dura Micro DM5133U AC Power Supply Adapter 12V ~ 2A
19,6,0,Bose Wave Radio and CD Player AWRC-1P,Bose Wave Radio and CD Player AWRC-1P White,0H-OV8Z-N3Z6,Amazon,B0009I9AY0,100.0,stripped_name,AWRC-1P,P,B0009I9AY0,Bose Wave Radio and CD Player AWRC-1P White
19,6,1,Bose Wave Radio and CD Player AWRC-1P,Bose Wave Radio and CD Player AWRC-1P White,C5-E45H-E61H,Amazon,B0009I9AY0,100.0,stripped_name,AWRC-1P,P,B0009I9AY0,Bose Wave Radio and CD Player AWRC-1P White
19,6,2,Bose Wave Radio and CD Player AWRC-1P,Bose Wave Radio and CD Player AWRC-1P White,ZO-8RWE-87NV,Amazon,B0009I9AY0,100.0,stripped_name,AWRC-1P,P,B0009I9AY0,Bose Wave Radio and CD Player AWRC-1P White
